x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,label,match_id,turning_point
0,1,1,1,0,1,0.0,15.526,1,0,-3.42,1,2023-wimbledon-1102,0
15,1,1,1,0,1,0.0,0.811,1,1,-1.19,1,2023-wimbledon-1102,0
30,1,1,1,0,1,0.0,8.179,1,1,1.09,1,2023-wimbledon-1102,1
40,1,1,1,0,1,0.0,7.938,1,0,3.38,0,2023-wimbledon-1102,0
25,1,1,1,0,1,0.0,20.174,1,0,2.8199999999999994,0,2023-wimbledon-1102,0
10,1,1,1,0,1,0.0,5.918,1,1,0.060000000000000275,1,2023-wimbledon-1102,1
0,1,0,1,0,0,0.0,4.84,0,0,0.009999999999999981,1,2023-wimbledon-1102,0
15,1,0,1,0,0,0.0,0.907,0,0,0.03999999999999976,1,2023-wimbledon-1102,0
30,1,0,1,0,0,0.0,4.33,0,1,2.58,1,2023-wimbledon-1102,1
40,1,0,1,0,0,0.0,3.381,0,1,5.46,0,2023-wimbledon-1102,0
25,1,0,1,0,0,0.0,4.357,0,1,2.81,0,2023-wimbledon-1102,0
10,1,0,1,0,0,0.0,11.794,0,1,0.0900000000000003,1,2023-wimbledon-1102,0
0,1,1,1,1,1,0.0,1.02,1,1,1.8800000000000001,1,2023-wimbledon-1102,0
15,1,1,1,1,1,0.0,21.346,1,0,2.33,0,2023-wimbledon-1102,0
0,1,1,1,1,1,0.0,12.418,1,1,2.2800000000000002,0,2023-wimbledon-1102,0
-15,0,1,1,1,1,0.0,6.403,1,0,2.2799999999999994,0,2023-wimbledon-1102,1
-25,0,1,1,1,1,0.0,4.791,1,1,-2.4499999999999997,1,2023-wimbledon-1102,0
-10,0,1,1,1,1,0.0,0.809,1,0,-2.47,0,2023-wimbledon-1102,0
0,1,0,0,0,0,0.0,0.667,0,0,-2.1099999999999994,1,2023-wimbledon-1102,0
15,1,0,0,0,0,0.0,15.528,0,1,0.12000000000000008,1,2023-wimbledon-1102,0
30,1,0,0,0,0,0.0,1.008,0,1,2.4600000000000004,0,2023-wimbledon-1102,0
15,1,0,0,0,0,0.0,13.487,0,0,0.20000000000000018,1,2023-wimbledon-1102,0
25,1,0,0,0,0,0.0,13.454,0,1,2.12,1,2023-wimbledon-1102,1
0,1,1,1,0,1,0.0,9.022,1,1,3.17,0,2023-wimbledon-1102,1
-15,0,1,1,0,1,0.0,1.286,1,1,1.06,1,2023-wimbledon-1102,0
0,1,1,1,0,1,0.0,63.985,1,1,3.4900000000000007,0,2023-wimbledon-1102,1
-15,0,1,1,0,1,0.0,0.982,1,1,1.4099999999999997,1,2023-wimbledon-1102,1
0,1,1,1,0,1,0.0,12.682,1,1,-0.020000000000000063,0,2023-wimbledon-1102,0
-10,0,1,1,0,1,0.0,2.627,1,1,0.01000000000000005,1,2023-wimbledon-1102,0
0,1,1,1,0,1,0.0,6.818,1,0,-0.020000000000000046,0,2023-wimbledon-1102,0
-10,0,1,1,0,1,0.0,21.636,1,0,0.01000000000000005,0,2023-wimbledon-1102,0
0,1,0,1,0,0,0.0,3.216,0,0,-2.9099999999999997,0,2023-wimbledon-1102,0
-15,0,0,1,0,0,0.0,21.885,0,0,-2.66,1,2023-wimbledon-1102,0
0,1,0,1,0,0,0.0,1.23,0,1,-2.8600000000000003,0,2023-wimbledon-1102,0
-15,0,0,1,0,0,0.0,5.555,0,1,-2.6099999999999994,0,2023-wimbledon-1102,1
-25,0,0,1,0,0,0.0,5.209,0,0,-1.97,1,2023-wimbledon-1102,0
-10,0,0,1,0,0,0.0,4.838,0,1,0.060000000000000026,0,2023-wimbledon-1102,1
0,1,0,1,0,0,0.75,10.559,1,0,-1.39,0,2023-wimbledon-1102,0
-15,0,0,1,0,0,0.75,11.016,1,1,-1.5899999999999999,0,2023-wimbledon-1102,0
-30,0,0,1,0,0,0.75,19.099,1,1,-1.7899999999999998,0,2023-wimbledon-1102,1
-40,0,0,1,0,0,0.75,7.122,1,1,-4.02,1,2023-wimbledon-1102,0
-25,0,0,1,0,0,0.75,2.833,1,1,-2.3699999999999997,1,2023-wimbledon-1102,0
-10,0,0,1,0,0,0.75,18.909,1,0,0.09000000000000002,1,2023-wimbledon-1102,0
0,1,0,1,0,0,0.75,4.382,1,1,2.58,1,2023-wimbledon-1102,0
10,1,0,1,0,0,0.75,33.365,1,1,5.459999999999999,0,2023-wimbledon-1102,0
0,1,0,1,0,0,0.75,9.138,1,1,3.209999999999999,1,2023-wimbledon-1102,0
10,1,0,1,0,0,0.75,6.711,1,1,2.5199999999999996,1,2023-wimbledon-1102,0
0,1,0,0,0,0,0.0,6.557,0,1,2.5500000000000003,0,2023-wimbledon-1102,0
-15,0,0,0,0,0,0.0,2.036,0,1,0.49,0,2023-wimbledon-1102,1
-30,0,0,0,0,0,0.0,1.146,0,1,0.8899999999999997,0,2023-wimbledon-1102,0
-40,0,0,0,0,0,0.0,1.277,0,1,-1.17,0,2023-wimbledon-1102,0
0,1,0,1,0,1,1.0,3.527,1,1,-3.42,0,2023-wimbledon-1102,1
-1,0,0,1,0,1,1.0,2.018,1,0,-3.67,0,2023-wimbledon-1102,0
-2,0,0,1,0,1,1.0,10.269,1,0,-3.67,1,2023-wimbledon-1102,0
-1,0,0,1,0,1,1.0,37.384,1,0,-1.64,1,2023-wimbledon-1102,0
0,1,0,1,0,1,1.0,13.261,1,1,0.03999999999999998,0,2023-wimbledon-1102,0
-1,0,0,1,0,1,1.0,14.846,1,1,0.09000000000000008,1,2023-wimbledon-1102,0
0,1,0,1,0,1,1.0,2.834,1,0,2.1199999999999997,0,2023-wimbledon-1102,0
